id,status,tempo,resposta
5,200,5.38,"{""resposta"":""Eu já contei sobre a Thermococcus kodakarensis, não é mesmo? Não vou repetir a mesma curiosidade. Em vez disso, vou compartilhar uma nova com você!\n\nVocê sabia que há uma espécie de pei"
2,200,5.4,"{""resposta"":""Parece que eu tive um problema técnico novamente! Mas não se preocupe, eu estou aqui e pronta para compartilhar uma curiosidade com você!\n\nVocê sabia que há um tipo de bactéria que vive"
9,200,1.67,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
2,200,1.63,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
6,200,2.09,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
3,200,5.82,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
1,200,5.74,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
5,200,5.76,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
0,200,5.75,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
4,200,5.67,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
7,200,5.67,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
8,200,6.11,"{""resposta"":""Peço desculpas pelo erro anterior. Estou funcionando novamente!\n\nVocê sabia que há uma língua que não tem palavras para \""sim\"" ou \""não\""? É o japonês! Em vez disso, os japoneses usam "
12,200,4.77,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
19,200,3.91,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
14,200,4.11,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
18,200,4.0,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
13,200,4.01,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
16,200,4.14,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
17,200,4.17,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
